Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20170225,3286,"CROW CR AT CHEYENNE, WY",1.2,30.0,261.2,16538.0,14006.0,100.0,2017-03-31T04:15:57.181000
20170225,3278,LODGEPOLE CR. AT RALTON N,0.7,17.0,514.2,18229.0,18229.0,100.0,2017-03-31T04:15:57.181000
20170225,3297,"LODGEPOLE CR NR BURNS, WY",1.1,27.0,327.6,18351.0,15078.0,100.0,2017-03-31T04:15:57.181000
20170225,CDMC2,"Arkansas River below Catlin Dam, CO",0.0,0.0,301.0,0.0,0.0,0.0,2017-03-31T04:15:57.181000
20170225,ARCC2,"Arkansas River at Rocky Ford, CO",0.0,0.0,542.5,0.0,0.0,0.0,2017-03-31T04:15:57.181000
20170225,LXHC2,"Arkansas River at La Junta, CO",0.0,0.0,752.3,0.0,0.0,0.0,2017-03-31T04:15:57.181000
20170225,FWRC2U,APISHAPA RVR UP ELEV,0.2,5.0,475.1,4573.0,1862.0,95.54,2017-03-31T04:15:57.181000
20170225,BONC2U,HUERFANO RVR UP ELEV,0.3,8.0,1392.1,23740.0,807.0,91.86,2017-03-31T04:15:57.181000
20170225,LAMC2U,BIG SANDY CRK UP ELEV,0.2,5.0,366.2,3534.0,3534.0,100.0,2017-03-31T04:15:57.181000
20170225,LARC2U,ARKANSAS RVR UP ELEV,0.1,2.0,212.1,993.0,993.0,90.51,2017-03-31T04:15:57.181000
20170225,NPTC2U,"Arkansas River at Nepesta, CO UP ELEV",0.2,5.0,282.3,2793.0,2793.0,98.24,2017-03-31T04:15:57.181000
20170225,FSEC2U,FOUNTAIN CRK UP ELEV,0.3,6.0,66.7,898.0,898.0,100.0,2017-03-31T04:15:57.181000
20170225,CSNC2U,FOUNTAIN CRK NR COLO SPGS UP ELEV,2.8,72.0,16.5,2496.0,479.0,100.0,2017-03-31T04:15:57.181000
20170225,THTC2U,PURGATOIRE RVR UP ELEV,0.1,2.0,296.1,1416.0,1185.0,99.89,2017-03-31T04:15:57.181000
20170225,SCVC2U,"St Charles River at Vineland, CO UP ELEV",0.6,16.0,213.2,7102.0,1471.0,100.0,2017-03-31T04:15:57.181000
20170225,PNNC2U,"Fountain Creek at Pinon, CO UP ELEV",0.1,3.0,20.0,143.0,143.0,100.0,2017-03-31T04:15:57.181000
20170225,FHAC2U,"Fountain Creek nr Fountain, CO UP ELEV",0.2,4.0,75.9,617.0,614.0,100.0,2017-03-31T04:15:57.181000
20170225,PBAC2U,Pueblo Reservoir near Pueblo UP ELEV,0.7,18.0,186.8,7047.0,2846.0,100.0,2017-03-31T04:15:57.181000
20170225,CBVC2,COTTONWOOD CRK,2.7,67.0,31.8,4501.0,-42.0,100.0,2017-03-31T04:15:57.181000
20170225,ABVC2,ARKANSAS RVR,2.1,54.0,140.7,15954.0,-960.0,96.76,2017-03-31T04:15:57.181000
20170225,CLVC2L,CUCHARAS RVR LA VETA,2.6,65.0,40.8,5583.0,-1806.0,100.0,2017-03-31T04:15:57.181000
20170225,GCWC2,GRAPE CRK,1.9,50.0,333.9,34712.0,-2321.0,56.3,2017-03-31T04:15:57.181000
20170225,BCHC2,BADGER CRK,0.1,4.0,201.9,1575.0,-719.0,55.46,2017-03-31T04:15:57.181000
20170225,PGWC2L,PURGATOIRE RVR,1.7,44.0,292.4,27265.0,-4739.0,61.76,2017-03-31T04:15:57.181000
20170225,PGWC2U,PURGATOIRE RVR UP ELEV,9.4,239.0,31.0,15569.0,479.0,100.0,2017-03-31T04:15:57.181000
20170225,CLRC2,CLEAR CRK RES,1.1,28.0,1.4,84.0,-57.0,100.0,2017-03-31T04:15:57.181000
20170225,CHKC2,CHALK CRK,7.1,179.0,84.6,31847.0,541.0,99.9,2017-03-31T04:15:57.181000
20170225,AERK1N,Walnut Creek,0.0,0.0,1582.9,0.0,0.0,0.0,2017-03-31T04:15:57.181000
20170225,NMIC2,PURGATOIRE RVR,0.0,0.0,958.2,141.0,141.0,6.12,2017-03-31T04:15:57.181000
20170225,THTC2L,PURGATOIRE RVR,0.0,1.0,884.4,1073.0,1073.0,42.93,2017-03-31T04:15:57.181000
20170225,DWSC2,GRAPE CRK,0.0,0.0,14.2,0.0,-1.0,0.0,2017-03-31T04:15:57.181000
20170225,HMCC2,HALFMOON CRK,9.2,235.0,25.2,12416.0,514.0,100.0,2017-03-31T04:15:57.181000
20170225,TDDC2,TRINIDAD LAKE,0.1,1.0,160.4,495.0,172.0,69.23,2017-03-31T04:15:57.181000
20170225,PTRC2,"Purgatoire River at Trinidad, CO",0.1,2.0,86.1,378.0,305.0,100.0,2017-03-31T04:15:57.181000
20170225,FNEC2,"Fountain Creek at Colorado Springs, CO",0.5,12.0,282.2,7242.0,6935.0,100.0,2017-03-31T04:15:57.181000
20170225,PDLC2,"Arkansas River at Wellsville, CO",0.6,16.0,818.8,27343.0,-1108.0,60.63,2017-03-31T04:15:57.181000
20170225,CCAC2,CLEAR LK ABV CLEAR CRK RSV,7.1,181.0,68.2,25972.0,741.0,100.0,2017-03-31T04:15:57.181000
20170225,CBAC2,COTTONWOOD CRK,6.7,171.0,70.6,25301.0,1190.0,100.0,2017-03-31T04:15:57.181000
20170225,HMZC2L,HUERFANO RVR,2.1,54.0,46.9,5320.0,-1318.0,62.37,2017-03-31T04:15:57.181000
20170225,FCAC2,FOURMILE CRK,0.3,8.0,432.4,7253.0,6304.0,100.0,2017-03-31T04:15:57.181000
20170225,PRTC2,"Arkansas River at Canon City, CO",0.2,4.0,437.8,3655.0,-585.0,95.54,2017-03-31T04:15:57.181000
20170225,PNNC2L,"Fountain Creek at Pinon, CO",0.0,0.0,158.4,99.0,99.0,26.26,2017-03-31T04:15:57.181000
20170225,PBAC2L,Pueblo Reservoir near Pueblo,0.1,2.0,476.6,1867.0,1867.0,88.39,2017-03-31T04:15:57.181000
20170225,PDAC2,"Arkansas River at Pueblo Dam, CO",0.0,0.0,2.8,2.0,2.0,35.29,2017-03-31T04:15:57.181000
20170225,FCHC2,"Fountain Creek at Pueblo, CO",0.0,0.0,81.4,0.0,0.0,0.0,2017-03-31T04:15:57.181000
20170225,HMZC2U,HUERFANO RVR UP ELEV,7.4,188.0,29.9,11805.0,-258.0,100.0,2017-03-31T04:15:57.181000
20170225,SALC2,"Arkansas River at Salida, CO",0.5,13.0,120.9,3195.0,-740.0,46.3,2017-03-31T04:15:57.181000
